Physician_ID,Cnt_Fraud_Engagement,Cnt_Fraud_Engagement_Rate
PHY330576,2958,0.9
PHY412132,2813,0.86
PHY341578,2455,0.75
PHY337425,2423,0.74
PHY350277,2310,0.7
PHY338032,2228,0.68
PHY347064,2071,0.63
PHY415321,1845,0.56
PHY423534,1473,0.45
PHY314027,1456,0.44
PHY313278,1418,0.43
PHY327046,1417,0.43
PHY357120,1405,0.43
PHY333735,1362,0.41
PHY409965,1296,0.39
PHY432650,1271,0.39
PHY383481,1196,0.36
PHY344389,1171,0.36
PHY313818,1096,0.33
PHY433436,1083,0.33
PHY421058,1027,0.31
PHY375219,996,0.3
PHY375453,994,0.3
PHY404832,988,0.3
PHY396637,985,0.3
PHY410597,935,0.28
PHY325906,927,0.28
PHY383336,922,0.28
PHY387126,900,0.27
PHY341452,895,0.27
PHY357307,864,0.26
PHY416732,860,0.26
PHY359122,859,0.26
PHY381249,846,0.26
PHY318667,816,0.25
PHY347780,799,0.24
PHY387026,790,0.24
PHY356051,787,0.24
PHY433374,771,0.23
PHY329600,771,0.23
PHY322092,771,0.23
PHY323447,765,0.23
PHY315358,746,0.23
PHY344257,743,0.23
PHY360043,736,0.22
PHY424712,693,0.21
PHY385072,687,0.21
PHY418434,685,0.21
PHY339530,673,0.2
PHY352555,661,0.2
PHY327964,643,0.2
PHY350610,638,0.19
PHY368630,637,0.19
PHY315344,634,0.19
PHY362200,618,0.19
PHY407400,586,0.18
PHY416093,579,0.18
PHY418441,556,0.17
PHY311788,554,0.17
PHY342582,553,0.17
PHY341768,541,0.16
PHY392264,540,0.16
PHY342753,540,0.16
PHY386363,500,0.15
PHY369122,482,0.15
PHY412121,480,0.15
PHY387395,479,0.15
PHY363575,478,0.15
PHY422181,478,0.15
PHY353823,477,0.15
PHY354739,476,0.14
PHY385898,469,0.14
PHY354326,469,0.14
PHY426654,467,0.14
PHY342375,463,0.14
PHY319039,462,0.14
PHY385474,462,0.14
PHY351338,440,0.13
PHY349909,435,0.13
PHY423941,433,0.13
PHY360244,432,0.13
PHY312018,432,0.13
PHY338662,431,0.13
PHY335375,421,0.13
PHY359931,414,0.13
PHY412566,410,0.12
PHY377766,382,0.12
PHY326003,382,0.12
PHY367916,377,0.11
PHY335146,373,0.11
PHY336024,372,0.11
PHY382099,369,0.11
PHY339873,364,0.11
PHY349818,360,0.11
PHY368638,356,0.11
PHY380757,354,0.11
PHY338597,347,0.11
PHY398810,335,0.1
PHY363761,333,0.1
PHY429147,330,0.1
PHY383305,330,0.1
PHY376936,329,0.1
PHY410865,329,0.1
PHY328402,328,0.1
PHY424276,328,0.1
PHY382394,328,0.1
PHY371562,326,0.1
PHY397149,324,0.1
PHY394232,324,0.1
PHY347629,320,0.1
PHY424424,319,0.1
PHY373858,318,0.1
PHY366501,317,0.1
PHY326637,317,0.1
PHY433664,314,0.1
PHY422260,313,0.1
PHY316099,312,0.1
PHY371725,312,0.1
PHY383820,310,0.09
PHY425443,302,0.09
PHY387249,300,0.09
PHY317862,293,0.09
PHY424897,293,0.09
PHY352006,292,0.09
PHY405838,291,0.09
PHY404200,284,0.09
PHY381033,283,0.09
PHY321036,282,0.09
PHY422221,280,0.09
PHY319816,278,0.08
PHY337051,277,0.08
PHY348551,277,0.08
PHY357909,274,0.08
PHY407179,273,0.08
PHY392136,272,0.08
PHY339637,272,0.08
PHY327514,271,0.08
PHY347925,271,0.08
PHY334905,271,0.08
PHY365930,271,0.08
PHY336375,271,0.08
PHY358241,269,0.08
PHY311407,267,0.08
PHY313877,267,0.08
PHY393374,266,0.08
PHY380867,266,0.08
PHY422728,265,0.08
PHY326733,263,0.08
PHY407877,262,0.08
PHY321975,260,0.08
PHY402457,259,0.08
PHY347511,258,0.08
PHY433622,255,0.08
PHY349295,253,0.08
PHY324052,253,0.08
PHY427473,249,0.08
PHY353553,249,0.08
PHY425644,248,0.08
PHY380551,245,0.07
PHY429105,244,0.07
PHY372489,243,0.07
PHY379737,243,0.07
PHY397375,242,0.07
PHY348307,241,0.07
PHY382290,240,0.07
PHY340021,239,0.07
PHY349182,238,0.07
PHY314610,238,0.07
PHY370745,238,0.07
PHY331166,236,0.07
PHY331295,232,0.07
PHY339042,232,0.07
PHY389109,231,0.07
PHY371896,229,0.07
PHY427441,229,0.07
PHY396617,229,0.07
PHY327911,225,0.07
PHY414365,224,0.07
PHY423761,220,0.07
PHY401160,219,0.07
PHY395255,216,0.07
PHY423641,214,0.07
PHY339339,214,0.07
PHY333216,212,0.06
PHY327795,212,0.06
PHY429784,208,0.06
PHY433530,208,0.06
PHY400343,207,0.06
PHY358603,206,0.06
PHY315807,206,0.06
PHY423392,205,0.06
PHY342238,201,0.06
PHY350399,201,0.06
PHY380919,201,0.06
PHY333980,200,0.06
PHY352171,200,0.06
PHY402056,200,0.06
PHY379217,199,0.06
PHY355928,198,0.06
PHY340075,197,0.06
PHY313692,196,0.06
PHY430885,194,0.06
PHY361786,194,0.06
PHY324916,193,0.06
PHY353097,192,0.06
PHY317422,189,0.06
PHY356104,188,0.06
PHY368882,188,0.06
PHY314880,188,0.06
PHY366156,187,0.06
PHY346463,186,0.06
PHY337968,186,0.06
PHY319184,186,0.06
PHY358865,186,0.06
PHY425123,185,0.06
PHY326889,184,0.06
PHY402679,184,0.06
PHY338690,183,0.06
PHY427886,183,0.06
PHY386498,182,0.06
PHY332351,182,0.06
PHY377118,181,0.06
PHY403464,181,0.06
PHY348245,181,0.06
PHY313599,179,0.05
PHY312780,179,0.05
PHY377680,178,0.05
PHY395758,178,0.05
PHY348703,178,0.05
PHY389133,178,0.05
PHY402094,177,0.05
PHY356646,177,0.05
PHY414843,177,0.05
PHY427802,177,0.05
PHY357709,176,0.05
PHY426097,176,0.05
PHY316950,176,0.05
PHY411123,176,0.05
PHY384873,176,0.05
PHY346988,174,0.05
PHY397260,174,0.05
PHY390875,174,0.05
PHY367901,173,0.05
PHY373993,173,0.05
PHY322853,173,0.05
PHY324021,173,0.05
PHY428093,173,0.05
PHY383351,172,0.05
PHY429095,172,0.05
PHY389217,171,0.05
PHY389434,171,0.05
PHY354114,171,0.05
PHY433463,171,0.05
PHY346968,171,0.05
PHY353688,171,0.05
PHY404831,171,0.05
PHY405990,170,0.05
PHY371865,170,0.05
PHY416865,169,0.05
PHY419512,168,0.05
PHY423244,168,0.05
PHY355366,168,0.05
PHY319958,168,0.05
PHY320956,167,0.05
PHY411165,167,0.05
PHY348748,167,0.05
PHY419136,167,0.05
PHY420323,167,0.05
PHY381098,166,0.05
PHY393262,166,0.05
PHY315400,166,0.05
PHY342066,166,0.05
PHY423833,166,0.05
PHY376059,165,0.05
PHY337003,165,0.05
PHY355134,164,0.05
PHY409699,164,0.05
PHY341553,164,0.05
PHY359424,163,0.05
PHY417058,163,0.05
PHY378799,163,0.05
PHY374394,163,0.05
PHY314408,163,0.05
PHY433037,161,0.05
PHY378468,161,0.05
PHY390959,161,0.05
PHY412631,161,0.05
PHY337774,161,0.05
PHY433357,159,0.05
PHY343438,159,0.05
PHY409783,159,0.05
PHY322883,158,0.05
PHY411996,158,0.05
PHY401920,157,0.05
PHY324561,157,0.05
PHY375509,157,0.05
PHY403570,157,0.05
PHY377718,157,0.05
PHY340150,156,0.05
PHY367783,156,0.05
PHY423718,156,0.05
PHY433465,155,0.05
PHY359079,155,0.05
PHY345623,154,0.05
PHY396507,154,0.05
PHY401145,154,0.05
PHY365422,153,0.05
PHY421576,153,0.05
PHY377466,153,0.05
PHY387351,152,0.05
PHY391459,152,0.05
PHY325883,152,0.05
PHY346328,151,0.05
PHY400120,151,0.05
PHY406370,151,0.05
PHY415911,151,0.05
PHY368661,151,0.05
PHY386012,151,0.05
PHY368864,150,0.05
PHY377234,150,0.05
PHY377712,150,0.05
PHY367788,149,0.05
PHY332993,149,0.05
PHY340158,149,0.05
PHY428459,149,0.05
PHY372805,149,0.05
PHY311343,149,0.05
PHY362965,149,0.05
PHY322816,148,0.05
PHY374128,148,0.05
PHY391951,148,0.05
PHY314320,148,0.05
PHY402328,148,0.05
PHY391796,148,0.05
PHY404509,148,0.05
PHY365445,148,0.05
PHY415742,147,0.04
PHY388025,147,0.04
PHY311269,147,0.04
PHY399537,147,0.04
PHY403682,146,0.04
PHY321288,146,0.04
PHY314546,146,0.04
PHY411660,146,0.04
PHY316159,146,0.04
PHY323682,145,0.04
PHY406209,145,0.04
PHY317506,145,0.04
PHY430625,144,0.04
PHY345068,144,0.04
PHY391158,144,0.04
PHY365507,143,0.04
PHY318539,143,0.04
PHY325821,143,0.04
PHY332820,142,0.04
PHY388514,142,0.04
PHY316237,141,0.04
PHY424943,141,0.04
PHY316474,141,0.04
PHY433128,140,0.04
PHY341726,140,0.04
PHY375443,140,0.04
PHY354238,140,0.04
PHY391413,140,0.04
PHY322406,139,0.04
PHY365057,139,0.04
PHY359110,138,0.04
PHY361820,138,0.04
PHY332693,138,0.04
PHY333995,138,0.04
PHY402104,138,0.04
PHY375972,138,0.04
PHY344762,138,0.04
PHY357996,137,0.04
PHY359026,137,0.04
PHY317695,137,0.04
PHY427791,137,0.04
PHY376335,136,0.04
PHY365540,136,0.04
PHY322048,136,0.04
PHY375728,135,0.04
PHY351910,135,0.04
PHY360481,134,0.04
PHY387189,134,0.04
PHY417751,134,0.04
PHY404352,134,0.04
PHY360510,134,0.04
PHY415375,133,0.04
PHY360602,133,0.04
PHY341388,132,0.04
PHY388987,132,0.04
PHY396620,132,0.04
PHY352698,132,0.04
PHY414204,132,0.04
PHY410813,132,0.04
PHY322164,132,0.04
PHY348290,132,0.04
PHY317711,131,0.04
PHY405290,131,0.04
PHY403831,131,0.04
PHY427222,131,0.04
PHY321331,131,0.04
PHY409582,131,0.04
PHY389327,130,0.04
PHY411809,130,0.04
PHY332706,130,0.04
PHY376573,130,0.04
PHY363733,130,0.04
PHY416347,130,0.04
PHY396224,129,0.04
PHY397865,129,0.04
PHY347380,129,0.04
PHY358110,128,0.04
PHY411545,128,0.04
PHY359433,128,0.04
PHY391800,127,0.04
PHY372123,127,0.04
PHY385446,127,0.04
PHY334319,127,0.04
PHY415142,127,0.04
PHY398277,127,0.04
PHY361370,126,0.04
PHY418351,126,0.04
PHY393087,126,0.04
PHY342344,126,0.04
PHY334590,125,0.04
PHY420164,125,0.04
PHY359690,124,0.04
PHY386206,124,0.04
PHY431348,124,0.04
PHY366236,124,0.04
PHY338145,123,0.04
PHY396851,123,0.04
PHY338803,123,0.04
PHY398111,123,0.04
PHY329971,122,0.04
PHY330845,122,0.04
PHY348301,122,0.04
PHY401995,122,0.04
PHY423848,122,0.04
PHY340336,122,0.04
PHY406084,122,0.04
PHY359290,122,0.04
PHY386828,122,0.04
PHY368118,121,0.04
PHY384809,120,0.04
PHY357095,120,0.04
PHY406757,120,0.04
