Physician_ID,Cnt_Fraud_Engagement,Cnt_Fraud_Engagement_Rate
PHY375943,1387,0.42
PHY351121,1232,0.38
PHY326984,1099,0.33
PHY362889,1090,0.33
PHY387900,1045,0.32
PHY367255,1035,0.32
PHY356444,966,0.29
PHY389456,944,0.29
PHY405720,860,0.26
PHY432614,845,0.26
PHY342223,776,0.24
PHY422235,740,0.23
PHY373032,715,0.22
PHY403755,702,0.21
PHY360179,681,0.21
PHY351973,648,0.2
PHY363309,617,0.19
PHY415621,596,0.18
PHY405650,557,0.17
PHY361063,554,0.17
PHY388477,551,0.17
PHY366914,537,0.16
PHY319973,535,0.16
PHY388040,529,0.16
PHY326049,526,0.16
PHY348408,524,0.16
PHY411722,518,0.16
PHY430054,513,0.16
PHY318242,507,0.15
PHY340260,505,0.15
PHY315424,498,0.15
PHY359164,479,0.15
PHY425169,478,0.15
PHY427186,470,0.14
PHY328307,468,0.14
PHY328613,468,0.14
PHY395822,458,0.14
PHY326286,454,0.14
PHY322775,443,0.13
PHY377552,442,0.13
PHY324335,442,0.13
PHY313705,442,0.13
PHY420028,438,0.13
PHY366755,430,0.13
PHY352753,426,0.13
PHY374226,424,0.13
PHY351443,423,0.13
PHY319349,418,0.13
PHY406155,416,0.13
PHY371576,416,0.13
PHY342906,415,0.13
PHY323501,411,0.13
PHY331484,400,0.12
PHY424939,398,0.12
PHY411662,397,0.12
PHY354358,395,0.12
PHY317529,390,0.12
PHY405937,388,0.12
PHY394276,388,0.12
PHY379935,386,0.12
PHY423304,386,0.12
PHY341671,385,0.12
PHY333981,381,0.12
PHY428634,381,0.12
PHY384394,375,0.11
PHY397870,372,0.11
PHY341928,365,0.11
PHY384948,365,0.11
PHY345497,346,0.11
PHY348872,344,0.1
PHY327386,342,0.1
PHY365595,341,0.1
PHY402093,339,0.1
PHY314587,334,0.1
PHY388996,332,0.1
PHY332626,330,0.1
PHY378955,328,0.1
PHY425984,328,0.1
PHY361612,324,0.1
PHY312247,323,0.1
PHY337092,322,0.1
PHY341325,321,0.1
PHY332810,320,0.1
PHY349756,315,0.1
PHY393668,313,0.1
PHY371459,312,0.1
PHY402355,309,0.09
PHY422483,309,0.09
PHY374305,308,0.09
PHY341041,302,0.09
PHY396580,297,0.09
PHY344239,295,0.09
PHY421969,295,0.09
PHY410752,292,0.09
PHY345071,290,0.09
PHY332888,290,0.09
PHY355131,289,0.09
PHY354938,287,0.09
PHY399975,287,0.09
PHY367158,285,0.09
PHY324500,284,0.09
PHY372364,284,0.09
PHY382485,284,0.09
PHY422043,278,0.08
PHY347573,278,0.08
PHY345111,274,0.08
PHY405860,274,0.08
PHY346569,272,0.08
PHY354374,272,0.08
PHY426087,269,0.08
PHY318447,269,0.08
PHY422717,267,0.08
PHY340328,267,0.08
PHY346686,265,0.08
PHY360271,264,0.08
PHY330784,264,0.08
PHY420091,264,0.08
PHY399829,263,0.08
PHY429080,258,0.08
PHY372623,258,0.08
PHY356538,257,0.08
PHY388358,256,0.08
PHY388916,254,0.08
PHY391882,252,0.08
PHY358635,250,0.08
PHY364477,248,0.08
PHY424985,240,0.07
PHY311115,238,0.07
PHY345861,238,0.07
PHY317438,237,0.07
PHY357131,237,0.07
PHY428261,237,0.07
PHY408393,236,0.07
PHY384272,236,0.07
PHY394727,236,0.07
PHY389847,236,0.07
PHY333152,233,0.07
PHY406092,233,0.07
PHY426955,232,0.07
PHY426553,232,0.07
PHY347107,230,0.07
PHY392297,229,0.07
PHY401319,227,0.07
PHY420779,227,0.07
PHY432659,227,0.07
PHY429078,226,0.07
PHY357108,226,0.07
PHY348928,224,0.07
PHY337335,223,0.07
PHY360321,223,0.07
PHY423019,222,0.07
PHY312203,221,0.07
PHY355600,221,0.07
PHY358873,221,0.07
PHY320581,220,0.07
PHY389662,220,0.07
PHY430090,220,0.07
PHY406261,219,0.07
PHY428858,219,0.07
PHY333331,218,0.07
PHY398033,218,0.07
PHY415031,217,0.07
PHY316329,217,0.07
PHY411888,216,0.07
PHY389249,216,0.07
PHY326162,216,0.07
PHY419379,216,0.07
PHY367268,215,0.07
PHY412053,215,0.07
PHY361771,214,0.07
PHY343767,213,0.06
PHY352228,213,0.06
PHY413439,213,0.06
PHY369553,213,0.06
PHY344188,213,0.06
PHY378340,212,0.06
PHY330980,212,0.06
PHY406323,212,0.06
PHY367887,212,0.06
PHY373205,211,0.06
PHY388819,208,0.06
PHY375267,207,0.06
PHY373626,207,0.06
PHY413840,206,0.06
PHY364025,206,0.06
PHY358879,206,0.06
PHY377002,206,0.06
PHY376343,205,0.06
PHY347104,205,0.06
PHY405659,204,0.06
PHY374189,204,0.06
PHY331636,204,0.06
PHY321907,203,0.06
PHY378484,202,0.06
PHY394143,202,0.06
PHY394779,202,0.06
PHY344879,201,0.06
PHY351291,201,0.06
PHY412600,201,0.06
PHY344557,200,0.06
PHY378227,200,0.06
PHY359750,199,0.06
PHY347233,198,0.06
PHY354885,197,0.06
PHY384441,196,0.06
PHY385752,194,0.06
PHY433122,194,0.06
PHY367249,194,0.06
PHY376138,193,0.06
PHY330549,193,0.06
PHY374565,192,0.06
PHY429708,192,0.06
PHY397478,191,0.06
PHY327824,190,0.06
PHY330089,190,0.06
PHY427842,189,0.06
PHY362735,189,0.06
PHY392914,187,0.06
PHY344950,187,0.06
PHY368786,187,0.06
PHY416287,187,0.06
PHY321072,186,0.06
PHY369154,185,0.06
PHY357445,185,0.06
PHY428313,184,0.06
PHY412356,184,0.06
PHY317185,184,0.06
PHY346134,182,0.06
PHY342494,182,0.06
PHY373165,182,0.06
PHY312130,182,0.06
PHY368454,182,0.06
PHY365132,181,0.06
PHY399747,180,0.05
PHY359776,180,0.05
PHY416432,179,0.05
PHY423980,179,0.05
PHY430053,179,0.05
PHY371507,177,0.05
PHY342324,177,0.05
PHY386158,176,0.05
PHY374426,175,0.05
PHY406201,175,0.05
PHY381705,175,0.05
PHY341068,174,0.05
PHY367568,174,0.05
PHY351311,174,0.05
PHY352030,174,0.05
PHY380850,174,0.05
PHY410681,173,0.05
PHY420625,173,0.05
PHY433412,173,0.05
PHY352732,173,0.05
PHY364820,172,0.05
PHY347281,172,0.05
PHY338918,172,0.05
PHY316244,172,0.05
PHY429887,171,0.05
PHY353241,171,0.05
PHY321245,171,0.05
PHY421149,171,0.05
PHY318302,171,0.05
PHY376933,170,0.05
PHY360653,170,0.05
PHY407862,170,0.05
PHY403282,170,0.05
PHY328472,170,0.05
PHY371931,169,0.05
PHY403576,169,0.05
PHY322586,169,0.05
PHY412288,168,0.05
PHY330109,168,0.05
PHY342688,168,0.05
PHY317521,168,0.05
PHY412844,168,0.05
PHY376446,168,0.05
PHY422994,168,0.05
PHY410385,167,0.05
PHY380633,167,0.05
PHY316028,167,0.05
PHY412628,167,0.05
PHY418684,167,0.05
PHY315692,167,0.05
PHY419485,166,0.05
PHY352112,166,0.05
PHY425795,166,0.05
PHY365681,165,0.05
PHY325176,165,0.05
PHY393720,165,0.05
PHY352454,165,0.05
PHY405216,165,0.05
PHY413169,165,0.05
PHY410325,165,0.05
PHY355492,164,0.05
PHY426706,164,0.05
PHY392554,163,0.05
PHY414985,163,0.05
PHY384380,163,0.05
PHY415299,163,0.05
PHY312479,163,0.05
PHY406328,163,0.05
PHY426179,162,0.05
PHY415041,162,0.05
PHY378541,162,0.05
PHY431927,162,0.05
PHY406101,162,0.05
PHY358414,162,0.05
PHY389236,162,0.05
PHY325118,161,0.05
PHY371133,161,0.05
PHY315436,161,0.05
